series_id                     ,seasonal,index_code,series_name,base_period,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
EIUID29                       ,U,ID,Organic chemicals,2000=100,"Monthly export price index for Harmonized 29, Organic chemicals, not seasonally adjusted",,1992,M12,2022,M03
EIUID30                       ,U,ID,Pharmaceutical products,2000=100,"Monthly export price index for Harmonized 30, Pharmaceutical products, not seasonally adjusted",,1992,M12,2022,M03
EIUID3002                     ,U,ID,"Human and animal blood, prepared; other blood frctns",December 2014=100,"Monthly export price index for Harmonized 3002, Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses, other blood fractions and immunological products; vaccines; toxins, cultures (excluding yeasts), not seasonally adjusted",,2014,M12,2022,M03
EIUID3004                     ,U,ID,Medicaments,2000=100,"Monthly export price index for Harmonized 3004, Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations, not seasonally adjusted",,1992,M12,2022,M03
EIUID33                       ,U,ID,Essential oils and resinoids; perfumery cosmetic or toilet preparations,2000=100,"Monthly export price index for Harmonized 33, Essential oils and resinoids; perfumery, cosmetic or toilet preparations, not seasonally adjusted",,1992,M12,2022,M03
EIUID3304                     ,U,ID,Beauty or make-up and skin-care preparations,December 2021=100,"Monthly export price index for Harmonized 3304, Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations, not seasonally adjusted",,2021,M12,2022,M03
EIUID34                       ,U,ID,"Soap; lubricants; waxes, polishing or scouring products; candles, pastes",2000=100,"Monthly export price index for Harmonized 34, Soap, washing and lubricating preparations, artificial waxes, prepared waxes, polishing preparations, candles and similar articles, modeling pastes, dental waxes and dental preparations, not seasonally adjusted",,1992,M12,2022,M03
EIUID38                       ,U,ID,Miscellaneous chemical products,2000=100,"Monthly export price index for Harmonized 38, Miscellaneous chemical products, not seasonally adjusted",,1992,M12,2022,M03
EIUID3822                     ,U,ID,Composite diagnostic or laboratory reagents,December 2001=100,"Monthly export price index for Harmonized 3822, Diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents, whether or not on a backing, certified reference materials, not seasonally adjusted",,2001,M12,2022,M03
EIUID39                       ,U,ID,Plastics and articles thereof,2000=100,"Monthly export price index for Harmonized 39, Plastics and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID3920                     ,U,ID,"Plates, sheets, films, foil and strips  of plastic",December 2020=100,"Monthly export price index for Harmonized 3920, Other plates, sheets, film, foil and strip, of plastics non-cellular andnot reinforced, laminated, supported or similarity combined with other materials, not seasonally adjusted",,2020,M12,2022,M03
EIUID3926                     ,U,ID,"Articles of plastics, polymers, and resins, nes",December 2021=100,"Monthly export price index for Harmonized 3926, Other articles of plastics, not seasonally adjusted",,2021,M12,2022,M03
EIUID40                       ,U,ID,Rubber and articles thereof,2000=100,"Monthly export price index for Harmonized 40, Rubber and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID47                       ,U,ID,Woodpulp and recovered paper,December 2019=100,"Monthly export price index for Harmonized 47, Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard, not seasonally adjusted",,2019,M12,2022,M03
EIUID48                       ,U,ID,"Paper and paperboard; articles of paper pulp, paper or paperboard",2000=100,"Monthly export price index for Harmonized 48, Paper and paperboard; articles of paper pulp, of paper or of paperboard; articles of paper pulp, paper or paperboard, not seasonally adjusted",,1992,M12,2022,M03
EIUID52                       ,U,ID,"Cotton, including yarns and woven fabrics thereof",2000=100,"Monthly export price index for Harmonized 52, Cotton, not seasonally adjusted",,1992,M12,2022,M03
EIUID5201                     ,U,ID,"Cotton, not carded or combed",December 2018=100,"Monthly export price index for Harmonized 5201, Cotton, not carded or combed, not seasonally adjusted",,2018,M12,2022,M03
EIUID70                       ,U,ID,Glass and glassware,December 2019=100,"Monthly export price index for Harmonized 70, Glass and glassware, not seasonally adjusted",,2019,M12,2022,M03
EIUID7102                     ,U,ID,"Diamonds, whether or not worked, but not mounted or set",December 2013=100,"Monthly export price index for Harmonized 7102, Diamonds, whether or not worked, but not mounted or set, not seasonally adjusted",,2013,M12,2022,M03
EIUID7108                     ,U,ID,"Gold (including gold plated with platinum), unwrought",December 2001=100,"Monthly export price index for Harmonized 7108, Gold (including gold plated with platinum) unwrought or in semimanufactured forms, or in powder form, not seasonally adjusted",,2001,M12,2022,M03
EIUID7110                     ,U,ID,"Platinum, unwrought, semimanufactured or in powder form",December 2020=100,"Monthly export price index for Harmonized 7110, Platinum, unwrought or in semimanufactured forms, or in powder form, not seasonally adjusted",,2020,M12,2022,M03
EIUID7112                     ,U,ID,Waste and scrap of precious metals,December 2020=100,"Monthly export price index for Harmonized 7112, Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal compounds used principally for the recovery of precious metal, not seasonally adjusted",,2020,M12,2022,M03
EIUID72                       ,U,ID,Iron and steel,December 2020=100,"Monthly export price index for Harmonized 72, Iron and steel, not seasonally adjusted",,2020,M12,2022,M03
EIUID74                       ,U,ID,Copper and articles thereof,2000=100,"Monthly export price index for Harmonized 74, Copper and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID76                       ,U,ID,Aluminum and articles thereof,2000=100,"Monthly export price index for Harmonized 76, Aluminum and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID84                       ,U,ID,Machinery and mechanical appliances; parts thereof,2000=100,"Monthly export price index for Harmonized 84, Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID8408                     ,U,ID,Diesel & semi-diesel internal combustion piston engines,December 2021=100,"Monthly export price index for Harmonized 8408, Compression-ignition internal combustion piston engines (diesel or semi-diesel engines), not seasonally adjusted",,2021,M12,2022,M03
EIUID8414                     ,U,ID,"Air or vacuum pumps, compressors and fans; vent & recycling hoods; parts",2000=100,"Monthly export price index for Harmonized 8414, Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof; parts, not seasonally adjusted",,1992,M12,2022,M03
EIUID8421                     ,U,ID,Centrifuges & filtering/purifying machinery and parts,2000=100,"Monthly export price index for Harmonized 8421, Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases; parts thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID8471                     ,U,ID,Computer equipment,2000=100,"Monthly export price index for Harmonized 8471, Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing coded data and machines for processing such data, not elsewhere specified, not seasonally adjusted",,1992,M12,2022,M03
EIUID85                       ,U,ID,Electrical machinery and equipment and parts and accessories thereof,2000=100,"Monthly export price index for Harmonized 85, Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles, not seasonally adjusted",,1992,M12,2022,M03
EIUID8517                     ,U,ID,Electrical apparatus for line telephony or line telegraphy; videophones; parts,2000=100,"Monthly export price index for Harmonized 8517, Telephone sets, including telephones for cellular or other wireless networks; other apparatus for the transmission or reception of voice, images or other data, parts thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID8536                     ,U,ID,"Electrical circuit switching, protecting or connection app of 1000 volts or less",2000=100,"Monthly export price index for Harmonized 8536, Electrical apparatus for switching or protecting electrical circuits, making connections to electrical circuits under 1000 V; connectors for optical fibers, optical fiber cables, not seasonally adjusted",,1992,M12,2022,M03
EIUID8541                     ,U,ID,Semiconductors; L.E.D.s; mounted crystals; parts thereof,December 2017=100,"Monthly export price index for Harmonized 8541, Diodes, transistors and semiconductor devices; photo-sensitive semiconductor devices, including photovoltaic cells; light-emitting diodes (LED); mounted crystals; parts thereof, not seasonally adjusted",,2017,M12,2022,M03
EIUID8542                     ,U,ID,Electronic integrated circuits and micro assemblies; parts thereof,2000=100,"Monthly export price index for Harmonized 8542, Electronic integrated circuits; parts thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID8544                     ,U,ID,Insulated conductors; optical fiber cables w/individually sheathed fibers,December 2019=100,"Monthly export price index for Harmonized 8542,  Insulated wire, cable and other insulated electrical conductors, whether or not fitted with connectors; optical fiber cables, made up of individually sheathed fibers, not seasonally adjusted",,2019,M12,2022,M03
EIUID87                       ,U,ID,Motor vehicles and their parts,2000=100,"Monthly export price index for Harmonized 87, Vehicles other than railway or tramway rolling stock, and parts and accessories thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID8703                     ,U,ID,"Automobiles and other motor vehicles inc minivans, 4-dr specialty vehicles",2000=100,"Monthly export price index for Harmonized 8703, Motor cars and other motor vehicles principally designed for the transport of persons, including station wagons and racing cars, not seasonally adjusted",,1992,M12,2022,M03
EIUID8704                     ,U,ID,Motor vehicles for the transport of goods,2000=100,"Monthly export price index for Harmonized 8704, Motor vehicles for the transport of goods, not seasonally adjusted",,1993,M12,2022,M03
EIUID8708                     ,U,ID,"Parts and access of tractors, buses automobiles, trucks, spec. vehicles",2000=100,"Monthly export price index for Harmonized 8708, Parts and access of tractors, buses automobiles, trucks, specialty vehicles, not seasonally adjusted",,1992,M12,2022,M03
EIUID8803                     ,U,ID,"Parts, nesoi, of civil aircraft and spacecraft (exc. military)",2000=100,"Monthly export price index for Harmonized 8803, Parts of civil aircraft and spacecraft (excluding military), not seasonally adjusted",,1994,M12,2022,M03
EIUID9018                     ,U,ID,"Instruments/appliances used in medical surgical, dental, veternarian sciences",2000=100,"Monthly export price index for Harmonized 9018, Instruments and appliances used in medical, surgical, dental or veterinary sciences, other electro-medical apparatus and sight-testing instruments; parts and accessories thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID9027                     ,U,ID,Instruments and apparatus for physical or chemical analysis,2000=100,"Monthly export price index for Harmonized 9027, Instruments for physical or chemical analysis; measuring viscosity, porosity, expansion, surface tension; measuring quantities of heat, sound or light; microtomes; parts thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUID9030                     ,U,ID,"Oscilloscopes, spectrum analyzers etc., and parts",December 2019=100,"Monthly export price index for Harmonized 9030, Oscilloscopes, spectrum analyzers and other instruments for measuring or checking electrical quantities, detecting alpha, beta, gamma, X-ray, ionizing radiations; parts thereof, not seasonally adjusted",,2019,M12,2022,M03
EIUID9031                     ,U,ID,"Measuring or checking instruments, and appliances n.e.s.",December 2001=100,"Monthly export price index for Harmonized 9031, Measuring or checking instruments, appliances and machines, not specified or included elsewhere; profile projectors; parts and accessories thereof, not seasonally adjusted",,2001,M12,2022,M03
EIUID94                       ,U,ID,Furniture; stuffed furnishings; lamps and lighting fittings nesoi;,2000=100,"Monthly export price index for Harmonized 94, Furniture; bedding, mattresses, mattress supports, cushions; lamps and lighting fittings, not elsewhere specified; illuminated nameplates and the like; prefabricated buildings; not seasonally adjusted",,1992,M12,2022,M03
EIUID95                       ,U,ID,"Toys, games and sports equipment; parts and accessories thereof",2000=100,"Monthly export price index for Harmonized 95, Toys, games and sports requisites; parts and accessories thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUIDI                        ,U,ID,Live animals; animal products,2000=100,"Monthly export price index for Harmonized I, Live animals; animal products, not seasonally adjusted",,1992,M12,2022,M03
EIUIDII                       ,U,ID,Vegetable products,2000=100,"Monthly export price index for Harmonized II, Vegetable products, not seasonally adjusted",,1992,M12,2022,M03
EIUIDIV                       ,U,ID,"Prepared foodstuffs, beverages, and tobacco",2000=100,"Monthly export price index for Harmonized IV, Prepared foodstuffs; beverages, spirts, and vinigar; tobacco and manufactured tobacco substitutes, not seasonally adjusted",,1992,M12,2022,M03
EIUIDIX                       ,U,ID,"Wood, wood charcoal, cork, straw, baskets and wickerwork",December 2014=100,"Monthly export price index for Harmonized IX, Wood and articles of wood; wood charcoal; cork and articles of cork; manufacturers of straw, of esparto or of other plaiting materials; basketware and wickerwork, not seasonally adjusted",,2014,M12,2022,M03
EIUIDV                        ,U,ID,Mineral products,2000=100,"Monthly export price index for Harmonized V, Mineral products, not seasonally adjusted",,1992,M12,2022,M03
EIUIDVI                       ,U,ID,Products of the chemical or allied industries,2000=100,"Monthly export price index for Harmonized VI, Products of the chemical or allied industries, not seasonally adjusted",,1992,M12,2022,M03
EIUIDVII                      ,U,ID,Plastics and articles thereof; rubber and articles thereof,2000=100,"Monthly export price index for Harmonized VII, Plastics and articles thereof; rubber and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUIDX                        ,U,ID,"Woodpulp, recovered paper, and paper products",2000=100,"Monthly export price index for Harmonized X, Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard; paper and paperboard and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXI                       ,U,ID,Textile and textile articles,2000=100,"Monthly export price index for Harmonized XI, Textile and textile articles, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXIII                     ,U,ID,"Stone, plaster, cement, asbestos, ceramics, glass etc.",2000=100,"Monthly export price index for Harmonized XIII, Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXIV                      ,U,ID,"Pearls, stones, precious metals, imitation jewelry, and coins",2000=100,"Monthly export price index for Harmonized XIV, Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewelry; coin, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXV                       ,U,ID,Base metals and articles of base metals,2000=100,"Monthly export price index for Harmonized XV, Base metals and articles of base metals, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXVI                      ,U,ID,"Machinery, electrical equipment, TV image and sound recorders, parts, etc.",2000=100,"Monthly export price index for Harmonized XVI, Machinery and mechanical appliances; electrical equipment; sound recorders and reproducers, television image and sound recorders and reproducers, and accessories of such articles, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXVII                     ,U,ID,"Vehicles, aircraft, vessels and associated transport equipment",2000=100,"Monthly export price index for Harmonized XVII, Vehicles, aircraft, vessels and associated transport equipment, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXVIII                    ,U,ID,"Optical, photo, measuring, medical & musical instruments; & timepieces",2000=100,"Monthly export price index for Harmonized XVIII, Optical, photographic, cinematographic, measuring, checking, precision, medical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUIDXX                       ,U,ID,Miscellaneous manufactured articles,2000=100,"Monthly export price index for Harmonized XX, Miscellaneous manufactured articles, not seasonally adjusted",,1992,M12,2022,M03
EIUIH142                      ,U,IH,Export Air Passenger Fares,2000=100,"Monthly export price index for balance of payments H142, Air passenger fares, not seasonally adjusted",,1986,M09,2022,M03
EIUIH1421                     ,U,IH,Export Air Passenger Fares-Europe,2000=100,"Monthly export price index for balance of payments H1421, Air passenger fares, Europe, not seasonally adjusted",,1994,M03,2022,M03
EIUIH14211                    ,U,IH,Export Air Passenger Fares-United Kingdom,December 2002=100,"Monthly export price index for balance of payments H14211, Air passenger fares, United Kingdom, not seasonally adjusted",,2002,M12,2022,M03
EIUIH14212                    ,U,IH,Export Air Passenger Fares-Other Europe,December 2002=100,"Monthly export price index for balance of payments H14212, Air passenger fares, Other Europe, not seasonally adjusted",,2002,M12,2022,M03
EIUIH1422                     ,U,IH,Export Air Passenger Fares-Asia,2000=100,"Monthly export price index for balance of payments H1422, Air passenger fares, Asia, not seasonally adjusted",,1994,M03,2022,M03
EIUIH14221                    ,U,IH,Export Air Passenger Fares-Japan,2000=100,"Monthly export price index for balance of payments H14221, Air passenger fares, Japan, not seasonally adjusted",,1994,M03,2022,M03
EIUIH14222                    ,U,IH,Export Air Passenger Fares-Other Asia,December 2009=100,"Monthly export price index for balance of payments H14222, Air passenger fares, Other Asia, not seasonally adjusted",,2009,M12,2022,M03
EIUIH1424                     ,U,IH,Export Air Passenger Fares-Latin America/Caribbean,2000=100,"Monthly export price index for balance of payments H1424, Air passenger fares, Latin America/Caribbean, not seasonally adjusted",,1986,M09,2022,M03
EIUIH14243                    ,U,IH,Export Air Passenger Fares-Central/South America,December 2009=100,"Monthly export price index for balance of payments H14243, Air passenger fares, Central/South America, not seasonally adjusted",,2009,M12,2022,M03
EIUIH231                      ,U,IH,Export Air Freight,2000=100,"Monthly export price index for balance of payments H231, Air freight, not seasonally adjusted",,1996,M12,2022,M03
EIUIH2311                     ,U,IH,Export Air Freight-Europe,December 2006=100,"Monthly export price index for balance of payments H2311, Air freight, Europe, not seasonally adjusted",,2006,M12,2022,M03
EIUIH2312                     ,U,IH,Export Air Freight-Asia,December 2011=100,"Monthly export price index for balance of payments H2312, Air freight, Asia, not seasonally adjusted",,2011,M12,2022,M03
EIUIP02                       ,U,IP,Meat and edible meat offal,2000=100,"Monthly import price index for Harmonized 02, Meat and edible meat offal, not seasonally adjusted",,1992,M12,2022,M03
EIUIP03                       ,U,IP,"Fish and crustaceans, molluscs and other aquatic invertebrates",2000=100,"Monthly import price index for Harmonized 03, Fish and crustaceans, molluscs and aquatic invertebrates, not seasonally adjusted",,1992,M12,2022,M03
EIUIP0304                     ,U,IP,"Fish fillets and other fish meat, fresh, chilled, frzn,",December 2008=100,"Monthly import price index for Harmonized 0304, Fish fillets and other fish meat (whether or not minced), fresh, chilled frozen, not seasonally adjusted",,2008,M12,2022,M03
EIUIP0306                     ,U,IP,"Crustaceans, live, fresh, chilled, etc; in shell or not; cooked or uncooked",2000=100,"Monthly import price index for Harmonized 0306, Crustaceans, live; smoked crustaceans; crustaceans, in shell, cooked by steaming or boiling, chilled, frozen, dried, salted; flours, meals and pellets of crustaceans, not seasonally adjusted",,1992,M12,2022,M03
EIUIP07                       ,U,IP,"Edible vegetables, roots, and tubers",2000=100,"Monthly import price index for Harmonized 07, Edible vegetables and certain roots and tubers, not seasonally adjusted",,1992,M12,2022,M03
EIUIP08                       ,U,IP,Edible fruit and nuts; peel of citrus fruit or melons,2000=100,"Monthly import price index for Harmonized 08, Edible fruit and nuts; peel of citrus fruit or melons, not seasonally adjusted",,1992,M12,2022,M03
EIUIP09                       ,U,IP,"Coffee, tea, mate and spices",2000=100,"Monthly import price index for Harmonized 09, Coffee, tea, mate and spices, not seasonally adjusted",,1992,M12,2022,M03
EIUIP0901                     ,U,IP,"Coffee, roasted or unroasted, decaf; coffee husks and skins",December 2007=100,"Monthly import price index for Harmonized 0901, Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion, not seasonally adjusted",,2007,M12,2022,M03
EIUIP16                       ,U,IP,"Edible preps of meat, of fish, or of aquatic invertebrates",December 2004=100,"Monthly import price index for Harmonized 16, Preparations of meat, of fish, or of crustaceans molluscs, or other aquatic invertebrates, not seasonally adjusted",,2004,M12,2022,M03
EIUIP17                       ,U,IP,Sugars and sugar confectionary,December 2021=100,"Monthly import price index for Harmonized 17, Sugars and sugar confectionary, not seasonally adjusted",,2021,M12,2022,M03
EIUIP18                       ,U,IP,Cocoa and cocoa preparations,December 2009=100,"Monthly import price index for Harmonized 18, Cocoa and cocoa preparations, not seasonally adjusted",,2009,M12,2022,M03
EIUIP22                       ,U,IP,"Beverages, spirits, and vinegar",2000=100,"Monthly import price index for Harmonized 22, Beverages, spirits and vinegar, not seasonally adjusted",,1992,M12,2022,M03
EIUIP2204                     ,U,IP,"Wine of fresh grapes, including fortified wine",December 2019=100,"Monthly import price index for Harmonized 2204, Wine of fresh grapes, including fortified wines, not seasonally adjusted",,2019,M12,2022,M03
EIUIP2208                     ,U,IP,Ethyl alcohol undenatured less than 80% alcohol,December 2001=100,"Monthly import price index for Harmonized 2208, Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent; spirits, liqueurs and other spirituous beverages, not seasonally adjusted",,2001,M12,2022,M03
EIUIP27                       ,U,IP,"Mineral fuels, oils and residuals, bituminous substances and mineral waxes",2000=100,"Monthly import price index for Harmonized 27, Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes, not seasonally adjusted",,1992,M12,2022,M03
EIUIP2709                     ,U,IP,"Petroleum oils and oils from bituminous minerals, crude",2000=100,"Monthly import price index for Harmonized 2709, Petroleum oils and oils obtained from bituminous minerals, crude, not seasonally adjusted",,1992,M12,2022,M03
EIUIP2710                     ,U,IP,"Petroleum oils (not crude), bituminous oils, & products thereof, nesoi",2000=100,"Monthly import price index for Harmonized 2710, Petroleum oils and oils obtained from bituminous minerals other than crude; preparations not elsewhere specified or included, not seasonally adjusted",,1992,M12,2022,M03
EIUIP2711                     ,U,IP,Petroleum gases and other gaseous hydrocarbons,2000=100,"Monthly import price index for Harmonized 2711, Petroleum gases and other gaseous hydrocarbons, not seasonally adjusted",,1992,M12,2022,M03
EIUIP28                       ,U,IP,Inorganic chemicals,2000=100,"Monthly import price index for Harmonized 28, Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes, not seasonally adjusted",,1992,M12,2022,M03
EIUIP29                       ,U,IP,Organic chemicals,2000=100,"Monthly import price index for Harmonized 29, Organic chemicals, not seasonally adjusted",,1992,M12,2022,M03
EIUIP2933                     ,U,IP,Heterocyclic compounds with nitrogen hetero-atoms only,December 2016=100,"Monthly import price index for Harmonized 2933, Heterocyclic compounds with nitrogen hetero-atom(s) only: Compounds containing an unfused pyrazole ring (whetheror not hydrogenated) in the structure, not seasonally adjusted",,2016,M12,2022,M03
EIUIP2934                     ,U,IP,"Nucleic acids and their salts, other heterocyclic compounds",December 2009=100,"Monthly import price index for Harmonized 2934, Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds, not seasonally adjusted",,2009,M12,2022,M03
EIUIP30                       ,U,IP,Pharmaceutical products,2000=100,"Monthly import price index for Harmonized 30, Pharmaceutical products, not seasonally adjusted",,1992,M12,2022,M03
EIUIP3002                     ,U,IP,"Human and animal blood, prep; antisera & other blood fractions",December 2014=100,"Monthly import price index for Harmonized 3002, Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses, other blood fractions and immunological products; vaccines; toxins, cultures (excluding yeasts), not seasonally adjusted",,2014,M12,2022,M03
EIUIP3004                     ,U,IP,"Medicaments (except vaccines, band., pharmaceuticals)",December 2001=100,"Monthly import price index for Harmonized 3004, Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale, not seasonally adjusted",,2001,M12,2022,M03
EIUIP38                       ,U,IP,Miscellaneous chemical products,2000=100,"Monthly import price index for Harmonized 38, Miscellaneous chemical products, not seasonally adjusted",,1996,M12,2022,M03
EIUIP39                       ,U,IP,Plastics and articles thereof,2000=100,"Monthly import price index for Harmonized 39, Plastics and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUIP3920                     ,U,IP,"Plates, sheets, film, foil, & strips of plastics",December 2020=100,"Monthly import price index for Harmonized 3920, Plastics; plates, sheets, film, foil and strip (not self-adhesive); non-cellular and not reinforced, laminated, supported or similarly combined with other materials, n.e.c., not seasonally adjusted",,2020,M12,2022,M03
EIUIP40                       ,U,IP,Rubber and articles thereof,2000=100,"Monthly import price index for Harmonized 40, Rubber and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUIP4011                     ,U,IP,New pneumatic tires of rubber,December 2004=100,"Monthly import price index for Harmonized 4011, New pneumatic tires, of  rubber, not seasonally adjusted",,2004,M12,2022,M03
EIUIP42                       ,U,IP,"Articles of leather; travel goods, bags, etc. of various materials",2000=100,"Monthly import price index for Harmonized 42, Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut), not seasonally adjusted",,1992,M12,2022,M03
EIUIP44                       ,U,IP,Wood and articles of wood; wood charcoal,December 2019=100,"Monthly import price index for Harmonized 44, Wood and articles of wood; wood charcoal, not seasonally adjusted",,2019,M12,2022,M03
EIUIP48                       ,U,IP,"Paper and paperboard; articles of paper pulp, paper or paperboard",2000=100,"Monthly import price index for Harmonized 48, Paper and paperboard; articles of paper pulp, of paper or of paperboard; articles of paper pulp, paper or paperboard, not seasonally adjusted",,1992,M12,2022,M03
EIUIP62                       ,U,IP,"Articles of apparel and clothing accessories, not knitted or crocheted",2000=100,"Monthly import price index for Harmonized 62, Articles of apparel and clothing accessories, not knitted or crocheted, not seasonally adjusted",,1992,M12,2022,M03
EIUIP6203                     ,U,IP,"Men or boys suits, ensembles, suit-type jackets, blazers & trousers",2000=100,"Monthly import price index for Harmonized 6203, Men or boys suits, ensembles, suit-type jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), not seasonally adjusted",,1992,M12,2022,M03
EIUIP6204                     ,U,IP,"Women or girls suits, dresses, skirts; not knitted",December 2017=100,"Monthly import price index for Harmonized 6204, Women or girls suits, ensembles, suit-type jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), not seasonally adjusted",,2017,M12,2022,M03
EIUIP63                       ,U,IP,Made-up or worn textile articles,2000=100,"Monthly import price index for Harmonized 63, Other made-up textile articles; sets; worn clothing and worn textile articles, not seasonally adjusted",,1992,M12,2022,M03
EIUIP6307                     ,U,IP,"Made-up articles of textile  materials, nes",December 2021=100,"Monthly import price index for Harmonized 6307, Other made up articles, including dress patterns, not seasonally adjusted",,2021,M12,2022,M03
EIUIP64                       ,U,IP,Footwear and parts of such articles,2000=100,"Monthly import price index for Harmonized 64, Footwear, gaiters and the like; parts of such articles, not seasonally adjusted",,1992,M12,2022,M03
EIUIP6403                     ,U,IP,Footwear with uppers of leathers,2000=100,"Monthly import price index for Harmonized 6403, Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather, not seasonally adjusted",,1992,M12,2022,M03
EIUIP68                       ,U,IP,"Articles of stone, plaster, cement, asbestos, or mica",December 2020=100,"Monthly import price index for Harmonized 68, Articles of stone, plaster, cement, asbestos, mica or similar materials, not seasonally adjusted",,2020,M12,2022,M03
EIUIP70                       ,U,IP,Glass and glassware,December 2021=100,"Monthly import price index for Harmonized 70, Glass and glassware, not seasonally adjusted",,2021,M12,2022,M03
EIUIP7102                     ,U,IP,"Diamonds, whether or not worked, but not mounted or set",2000=100,"Monthly import price index for Harmonized 7102, Diamonds, whether or not worked, but not mounted or set, not seasonally adjusted",,1992,M12,2022,M03
EIUIP7106                     ,U,IP,"Silver unwrought, semi-manufactured, or powder",December 2021=100,"Monthly import price index for Harmonized 7106, Silver (including silver plated with gold or platinum), unwrought or in semimanufactured forms, or in powder form, not seasonally adjusted",,2021,M12,2022,M03
EIUIP7108                     ,U,IP,"Gold (incl plated with platinum), unwrght, semi-mfg or pwdr",2000=100,"Monthly import price index for Harmonized 7108, Gold (including gold plated with platinum) unwrought or in semimanufactured forms, or in powder form, not seasonally adjusted",,1996,M12,2022,M03
EIUIP7110                     ,U,IP,"Platinum, unwrought, semi-mfg or powder",December 2019=100,"Monthly import price index for Harmonized 7110, Platinum, unwrought or in semimanufactured forms, or in powder form, not seasonally adjusted",,2019,M12,2022,M03
EIUIP72                       ,U,IP,Iron and steel,2000=100,"Monthly import price index for Harmonized 72, Iron and steel, not seasonally adjusted",,1992,M12,2022,M03
EIUIP73                       ,U,IP,Articles of iron or steel,2000=100,"Monthly import price index for Harmonized 73, Articles of iron or steel, not seasonally adjusted",,1992,M12,2022,M03
EIUIP7318                     ,U,IP,"Screws, bolts, nuts, rivets, cotters, and washers",December 2021=100,"Monthly import price index for Harmonized 7318, Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel, not seasonally adjusted",,2021,M12,2022,M03
EIUIP74                       ,U,IP,Copper and articles thereof,2000=100,"Monthly import price index for Harmonized 74, Copper and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
EIUIP76                       ,U,IP,Aluminum and articles thereof,2000=100,"Monthly import price index for Harmonized 76, Aluminum and articles thereof, not seasonally adjusted",,1992,M12,2022,M03
