CATEGORIES,,,,,,
cat_idx,cat_code,cat_desc,cat_indent,,,
28,7,4,0,1,1,3.2
28,8,4,0,1,1,-0.3
28,9,4,0,1,1,2
28,10,4,0,1,1,0.8
28,11,4,0,1,1,0.4
28,12,4,0,1,1,-1.9
28,13,4,0,1,1,0.9
28,14,4,0,1,1,-6
28,15,4,0,1,1,0.6
28,16,4,0,1,1,0.2
28,17,4,0,1,1,-1.5
28,18,4,0,1,1,-2.4
28,19,4,0,1,1,-1.2
28,1,5,0,1,1,0.8
28,2,5,0,1,1,1.1
28,3,5,0,1,1,0.2
28,4,5,0,1,1,1.3
28,5,5,0,1,1,1.3
28,6,5,0,1,1,3.4
28,7,5,0,1,1,2.3
28,8,5,0,1,1,0.9
28,9,5,0,1,1,2
28,11,5,0,1,1,0.6
28,12,5,0,1,1,-2.9
28,13,5,0,1,1,1
28,14,5,0,1,1,-8.7
28,19,5,0,1,1,-1.5
28,1,6,0,1,1,0.2
28,2,6,0,1,1,11.4
28,3,6,0,1,1,0
28,5,6,0,1,1,-7.1
28,6,6,0,1,1,4.8
28,7,6,0,1,1,7.4
28,8,6,0,1,1,-0.6
28,10,6,0,1,1,0.3
28,11,6,0,1,1,0.2
28,12,6,0,1,1,-1.5
28,14,6,0,1,1,5.2
28,15,6,0,1,1,0.7
28,16,6,0,1,1,0.3
28,17,6,0,1,1,-2.2
28,18,6,0,1,1,4.7
28,1,0,4,1,0,0.9
28,2,0,4,1,0,2.5
28,3,0,4,1,0,1
28,4,0,4,1,0,2.2
28,5,0,4,1,0,2.9
28,6,0,4,1,0,2.3
28,7,0,4,1,0,1.9
28,8,0,4,1,0,1.8
28,9,0,4,1,0,3.2
28,10,0,4,1,0,2.6
28,11,0,4,1,0,3.2
28,12,0,4,1,0,2.8
28,13,0,4,1,0,0
28,14,0,4,1,0,0.9
28,15,0,4,1,0,4.1
28,16,0,4,1,0,4
28,17,0,4,1,0,4.4
28,18,0,4,1,0,5.2
28,19,0,4,1,0,1.7
28,1,0,5,1,0,1.2
28,2,0,5,1,0,1.2
28,3,0,5,1,0,1.6
28,4,0,5,1,0,2.3
28,5,0,5,1,0,3.6
28,6,0,5,1,0,2.4
28,7,0,5,1,0,2.2
28,8,0,5,1,0,2.4
28,9,0,5,1,0,3.2
28,11,0,5,1,0,4.3
28,12,0,5,1,0,4
28,13,0,5,1,0,0
28,14,0,5,1,0,1.2
28,19,0,5,1,0,1.7
28,1,0,6,1,0,1.3
28,2,0,6,1,0,2.6
28,3,0,6,1,0,1.4
28,5,0,6,1,0,2.7
28,6,0,6,1,0,5.7
28,7,0,6,1,0,2.1
28,8,0,6,1,0,2.1
28,10,0,6,1,0,2.6
28,11,0,6,1,0,4.7
28,12,0,6,1,0,3.2
28,14,0,6,1,0,4.4
28,15,0,6,1,0,4.1
28,16,0,6,1,0,3.9
28,17,0,6,1,0,4.5
28,18,0,6,1,0,6.3
29,1,1,0,1,0,83736
29,2,1,0,1,0,45976
29,3,1,0,1,0,37759
29,4,1,0,1,0,1023
29,5,1,0,1,0,3599
29,6,1,0,1,0,5715
29,7,1,0,1,0,2794
29,8,1,0,1,0,6118
29,9,1,0,1,0,682
29,10,1,0,1,0,594
29,11,1,0,1,0,1485
29,12,1,0,1,0,2076
29,13,1,0,1,0,1161
29,14,1,0,1,0,2500
29,15,1,0,1,0,5246
29,16,1,0,1,0,1601
29,17,1,0,1,0,1028
29,18,1,0,1,0,288
29,19,1,0,1,0,1852
29,1,2,0,1,0,65027
29,2,2,0,1,0,45481
29,3,2,0,1,0,19545
29,4,2,0,1,0,980
29,5,2,0,1,0,2777
29,6,2,0,1,0,5368
29,7,2,0,1,0,2303
29,8,2,0,1,0,1096
29,9,2,0,1,0,682
29,11,2,0,1,0,761
29,12,2,0,1,0,593
29,13,2,0,1,0,1150
29,14,2,0,1,0,1859
29,19,2,0,1,0,1841
29,1,3,0,1,0,18709
29,2,3,0,1,0,495
29,3,3,0,1,0,18214
29,5,3,0,1,0,822
29,6,3,0,1,0,347
29,7,3,0,1,0,491
29,8,3,0,1,0,5023
29,10,3,0,1,0,566
29,11,3,0,1,0,724
29,12,3,0,1,0,1483
29,14,3,0,1,0,641
29,15,3,0,1,0,5213
29,16,3,0,1,0,1572
29,17,3,0,1,0,995
29,18,3,0,1,0,275
29,20,1,0,1,1,974381
29,21,1,0,1,1,528180
29,22,1,0,1,1,446200
29,23,1,0,1,1,12270
29,24,1,0,1,1,42216
29,25,1,0,1,1,67347
29,26,1,0,1,1,32551
29,27,1,0,1,1,73204
29,28,1,0,1,1,8218
29,29,1,0,1,1,7196
29,30,1,0,1,1,17363
29,31,1,0,1,1,24232
29,32,1,0,1,1,15050
29,33,1,0,1,1,30928
29,34,1,0,1,1,58842
29,35,1,0,1,1,18301
29,36,1,0,1,1,12437
29,37,1,0,1,1,3788
29,38,1,0,1,1,22258
29,20,2,0,1,1,755493
29,21,2,0,1,1,522534
29,22,2,0,1,1,232956
29,23,2,0,1,1,11759
29,24,2,0,1,1,32664
29,25,2,0,1,1,63368
29,26,2,0,1,1,26813
29,27,2,0,1,1,12480
29,28,2,0,1,1,8217
29,30,2,0,1,1,8883
29,31,2,0,1,1,6616
29,32,2,0,1,1,14914
29,33,2,0,1,1,23458
29,38,2,0,1,1,22122
29,20,3,0,1,1,218891
29,21,3,0,1,1,5647
29,22,3,0,1,1,213244
29,24,3,0,1,1,9552
29,25,3,0,1,1,3979
29,26,3,0,1,1,5739
29,27,3,0,1,1,60724
29,29,3,0,1,1,6875
29,30,3,0,1,1,8480
29,31,3,0,1,1,17616
29,33,3,0,1,1,7471
29,34,3,0,1,1,58426
29,35,3,0,1,1,17938
29,36,3,0,1,1,12031
29,37,3,0,1,1,3631
29,1,0,1,1,0,1
29,20,0,1,1,1,1
29,2,0,1,1,0,3.9
29,21,0,1,1,1,3.9
29,3,0,1,1,0,1
29,22,0,1,1,1,1
29,4,0,1,1,0,3.9
29,23,0,1,1,1,3.9
29,5,0,1,1,0,3.5
29,24,0,1,1,1,3.5
29,6,0,1,1,0,2.8
29,25,0,1,1,1,2.8
29,7,0,1,1,0,3
29,26,0,1,1,1,3
29,8,0,1,1,0,2.3
29,27,0,1,1,1,2.3
29,9,0,1,1,0,4.5
29,28,0,1,1,1,4.5
29,10,0,1,1,0,3.6
29,29,0,1,1,1,3.6
29,11,0,1,1,0,3.9
29,30,0,1,1,1,3.9
29,12,0,1,1,0,2.5
29,31,0,1,1,1,2.5
29,13,0,1,1,0,2.1
29,32,0,1,1,1,2.1
29,14,0,1,1,0,1.3
29,33,0,1,1,1,1.3
29,15,0,1,1,0,3.5
29,34,0,1,1,1,3.5
29,16,0,1,1,0,3.9
29,35,0,1,1,1,3.9
29,17,0,1,1,0,4.2
29,36,0,1,1,1,4.2
29,18,0,1,1,0,4.7
29,37,0,1,1,1,4.7
29,19,0,1,1,0,3.8
29,38,0,1,1,1,3.8
29,1,0,2,1,0,1.4
29,20,0,2,1,1,1.4
29,2,0,2,1,0,5
29,21,0,2,1,1,5
29,3,0,2,1,0,1.6
29,22,0,2,1,1,1.6
29,4,0,2,1,0,4
29,23,0,2,1,1,4
29,5,0,2,1,0,4.5
29,24,0,2,1,1,4.5
29,6,0,2,1,0,2.9
29,25,0,2,1,1,2.9
29,7,0,2,1,0,3.6
29,26,0,2,1,1,3.6
29,8,0,2,1,0,4.1
29,27,0,2,1,1,4.1
29,9,0,2,1,0,4.5
29,28,0,2,1,1,4.5
29,11,0,2,1,0,5.8
29,30,0,2,1,1,5.8
29,12,0,2,1,0,10.4
29,31,0,2,1,1,10.4
29,13,0,2,1,0,0
29,32,0,2,1,1,0
29,14,0,2,1,0,1.6
29,33,0,2,1,1,1.6
29,19,0,2,1,0,3.9
29,38,0,2,1,1,3.9
29,1,0,3,1,0,1.4
29,20,0,3,1,1,1.4
29,2,0,3,1,0,4
29,21,0,3,1,1,4
29,3,0,3,1,0,1.4
29,22,0,3,1,1,1.4
29,5,0,3,1,0,3.5
29,24,0,3,1,1,3.5
29,6,0,3,1,0,9.5
29,25,0,3,1,1,9.5
29,7,0,3,1,0,3.9
29,26,0,3,1,1,3.9
29,8,0,3,1,0,2.6
29,27,0,3,1,1,2.6
29,10,0,3,1,0,3.6
29,29,0,3,1,1,3.6
29,11,0,3,1,0,5.2
29,30,0,3,1,1,5.2
29,12,0,3,1,0,2.9
29,31,0,3,1,1,2.9
29,14,0,3,1,0,6
29,33,0,3,1,1,6
29,15,0,3,1,0,3.5
29,34,0,3,1,1,3.5
29,16,0,3,1,0,3.9
29,35,0,3,1,1,3.9
29,17,0,3,1,0,4.2
29,36,0,3,1,1,4.2
29,18,0,3,1,0,4.9
29,37,0,3,1,1,4.9
29,1,4,0,1,1,0.7
29,2,4,0,1,1,2
29,3,4,0,1,1,-0.8
29,4,4,0,1,1,2.5
29,5,4,0,1,1,0.6
29,6,4,0,1,1,2
29,7,4,0,1,1,-1.5
29,8,4,0,1,1,-1
29,9,4,0,1,1,0.8
29,10,4,0,1,1,0.3
29,11,4,0,1,1,4.3
29,12,4,0,1,1,-2.7
29,13,4,0,1,1,1.6
29,14,4,0,1,1,-8.8
29,15,4,0,1,1,-3
29,16,4,0,1,1,1.6
29,17,4,0,1,1,-4.2
29,18,4,0,1,1,-4.8
29,19,4,0,1,1,3.4
29,1,5,0,1,1,1.3
29,2,5,0,1,1,2
29,3,5,0,1,1,-0.2
29,4,5,0,1,1,3
29,5,5,0,1,1,-0.5
29,6,5,0,1,1,2
29,7,5,0,1,1,-1
29,8,5,0,1,1,-3.8
29,9,5,0,1,1,0.8
29,11,5,0,1,1,9.8
29,12,5,0,1,1,0.3
29,13,5,0,1,1,1.4
29,14,5,0,1,1,-11.9
29,19,5,0,1,1,3.6
29,1,6,0,1,1,-1.3
29,2,6,0,1,1,2.4
29,3,6,0,1,1,-1.4
29,5,6,0,1,1,4.3
29,6,6,0,1,1,2.1
29,7,6,0,1,1,-4
29,8,6,0,1,1,-0.4
29,10,6,0,1,1,0.8
29,11,6,0,1,1,-1
29,12,6,0,1,1,-3.8
29,14,6,0,1,1,2.5
29,15,6,0,1,1,-3.3
29,16,6,0,1,1,2.2
29,17,6,0,1,1,-4.3
29,18,6,0,1,1,-7.4
29,1,0,4,1,0,1.1
29,2,0,4,1,0,3.1
29,3,0,4,1,0,1.1
29,4,0,4,1,0,2.5
29,5,0,4,1,0,3.2
29,6,0,4,1,0,2.6
29,7,0,4,1,0,2
29,8,0,4,1,0,1.6
29,9,0,4,1,0,3.4
29,10,0,4,1,0,3
29,11,0,4,1,0,3.1
29,12,0,4,1,0,0
29,13,0,4,1,0,13.4
29,14,0,4,1,0,1.1
29,15,0,4,1,0,5.5
29,16,0,4,1,0,3.5
29,17,0,4,1,0,4.6
29,18,0,4,1,0,7.4
29,19,0,4,1,0,2.6
29,1,0,5,1,0,1.3
29,2,0,5,1,0,1.3
29,3,0,5,1,0,1.3
29,4,0,5,1,0,2.5
29,5,0,5,1,0,3.9
29,6,0,5,1,0,2.7
29,7,0,5,1,0,2.3
29,8,0,5,1,0,2.1
29,9,0,5,1,0,3.4
29,11,0,5,1,0,4
29,12,0,5,1,0,6.6
29,13,0,5,1,0,0
29,14,0,5,1,0,1.3
29,19,0,5,1,0,2.7
29,1,0,6,1,0,1.6
29,2,0,6,1,0,3.1
29,3,0,6,1,0,1.7
29,5,0,6,1,0,2.3
29,6,0,6,1,0,6.2
29,7,0,6,1,0,2.2
29,8,0,6,1,0,1.9
29,10,0,6,1,0,2.8
29,11,0,6,1,0,4.7
29,12,0,6,1,0,3
29,14,0,6,1,0,4.6
29,15,0,6,1,0,5.6
29,16,0,6,1,0,3.5
29,17,0,6,1,0,4.7
29,18,0,6,1,0,7
30,1,1,0,1,0,89932
30,2,1,0,1,0,49245
30,3,1,0,1,0,40687
30,4,1,0,1,0,1050
30,5,1,0,1,0,3629
30,6,1,0,1,0,6122
30,7,1,0,1,0,2873
30,8,1,0,1,0,7203
30,9,1,0,1,0,714
30,10,1,0,1,0,591
30,11,1,0,1,0,1461
30,12,1,0,1,0,2146
30,13,1,0,1,0,1312
30,14,1,0,1,0,2614
30,15,1,0,1,0,6161
30,16,1,0,1,0,1596
30,17,1,0,1,0,1114
30,18,1,0,1,0,314
30,19,1,0,1,0,1788
30,1,2,0,1,0,69039
30,2,2,0,1,0,48749
30,3,2,0,1,0,20290
30,4,2,0,1,0,1010
30,5,2,0,1,0,2828
30,6,2,0,1,0,5770
30,7,2,0,1,0,2343
30,8,2,0,1,0,1149
30,9,2,0,1,0,714
30,11,2,0,1,0,726
30,12,2,0,1,0,603
30,13,2,0,1,0,1305
30,14,2,0,1,0,1890
30,19,2,0,1,0,1774
30,1,3,0,1,0,20893
30,2,3,0,1,0,496
30,3,3,0,1,0,20397
30,5,3,0,1,0,801
30,6,3,0,1,0,352
30,7,3,0,1,0,530
30,8,3,0,1,0,6054
30,10,3,0,1,0,564
30,11,3,0,1,0,735
30,12,3,0,1,0,1542
30,14,3,0,1,0,724
30,15,3,0,1,0,6117
30,16,3,0,1,0,1567
30,17,3,0,1,0,1062
30,18,3,0,1,0,288
30,20,1,0,1,1,983087
30,21,1,0,1,1,533358
30,22,1,0,1,1,449728
30,23,1,0,1,1,12599
30,24,1,0,1,1,41823
30,25,1,0,1,1,69328
30,26,1,0,1,1,32732
30,27,1,0,1,1,76327
30,28,1,0,1,1,8237
30,29,1,0,1,1,6964
30,30,1,0,1,1,16996
30,31,1,0,1,1,24261
30,32,1,0,1,1,14777
30,33,1,0,1,1,30833
30,34,1,0,1,1,59954
30,35,1,0,1,1,17653
30,36,1,0,1,1,12764
30,37,1,0,1,1,3827
30,38,1,0,1,1,20654
30,20,2,0,1,1,760308
30,21,2,0,1,1,527794
30,22,2,0,1,1,232519
30,23,2,0,1,1,12115
30,24,2,0,1,1,32513
30,25,2,0,1,1,65215
30,26,2,0,1,1,26640
30,27,2,0,1,1,12455
30,28,2,0,1,1,8233
30,30,2,0,1,1,8613
30,31,2,0,1,1,6738
30,32,2,0,1,1,14697
30,33,2,0,1,1,22764
30,38,2,0,1,1,20483
30,20,3,0,1,1,222773
30,21,3,0,1,1,5564
30,22,3,0,1,1,217209
30,24,3,0,1,1,9310
30,25,3,0,1,1,4113
30,26,3,0,1,1,6092
30,27,3,0,1,1,63871
30,29,3,0,1,1,6666
30,30,3,0,1,1,8383
30,31,3,0,1,1,17522
30,33,3,0,1,1,8068
30,34,3,0,1,1,59498
30,35,3,0,1,1,17339
30,36,3,0,1,1,12093
30,37,3,0,1,1,3516
30,1,0,1,1,0,1
30,20,0,1,1,1,1
30,2,0,1,1,0,4.5
30,21,0,1,1,1,4.5
30,3,0,1,1,0,1
30,22,0,1,1,1,1
30,4,0,1,1,0,3.9
30,23,0,1,1,1,3.9
30,5,0,1,1,0,3.5
30,24,0,1,1,1,3.5
30,6,0,1,1,0,2.9
30,25,0,1,1,1,2.9
30,7,0,1,1,0,3
30,26,0,1,1,1,3
30,8,0,1,1,0,2.3
30,27,0,1,1,1,2.3
30,9,0,1,1,0,4.5
30,28,0,1,1,1,4.5
30,10,0,1,1,0,3.6
30,29,0,1,1,1,3.6
30,11,0,1,1,0,3.8
30,30,0,1,1,1,3.8
30,12,0,1,1,0,2.3
30,31,0,1,1,1,2.3
30,13,0,1,1,0,4.4
30,32,0,1,1,1,4.4
30,14,0,1,1,0,1.3
30,33,0,1,1,1,1.3
30,15,0,1,1,0,3.6
30,34,0,1,1,1,3.6
30,16,0,1,1,0,3.9
30,35,0,1,1,1,3.9
30,17,0,1,1,0,4.2
30,36,0,1,1,1,4.2
30,18,0,1,1,0,4.8
30,37,0,1,1,1,4.8
30,19,0,1,1,0,3.7
30,38,0,1,1,1,3.7
30,1,0,2,1,0,1.4
30,20,0,2,1,1,1.4
30,2,0,2,1,0,5
30,21,0,2,1,1,5
30,3,0,2,1,0,1.6
30,22,0,2,1,1,1.6
30,4,0,2,1,0,4
30,23,0,2,1,1,4
30,5,0,2,1,0,4.6
30,24,0,2,1,1,4.6
30,6,0,2,1,0,3
30,25,0,2,1,1,3
30,7,0,2,1,0,3.6
30,26,0,2,1,1,3.6
30,8,0,2,1,0,4.1
30,27,0,2,1,1,4.1
30,9,0,2,1,0,4.5
30,28,0,2,1,1,4.5
30,11,0,2,1,0,5.9
30,30,0,2,1,1,5.9
30,12,0,2,1,0,10.3
30,31,0,2,1,1,10.3
30,13,0,2,1,0,0
30,32,0,2,1,1,0
30,14,0,2,1,0,1.6
30,33,0,2,1,1,1.6
30,19,0,2,1,0,3.8
30,38,0,2,1,1,3.8
30,1,0,3,1,0,1.4
30,20,0,3,1,1,1.4
30,2,0,3,1,0,4.5
30,21,0,3,1,1,4.5
30,3,0,3,1,0,1.4
30,22,0,3,1,1,1.4
30,5,0,3,1,0,3.5
30,24,0,3,1,1,3.5
30,6,0,3,1,0,9.6
30,25,0,3,1,1,9.6
30,7,0,3,1,0,3.8
30,26,0,3,1,1,3.8
30,8,0,3,1,0,2.6
30,27,0,3,1,1,2.6
30,10,0,3,1,0,3.6
30,29,0,3,1,1,3.6
30,11,0,3,1,0,5
30,30,0,3,1,1,5
30,12,0,3,1,0,3
30,31,0,3,1,1,3
30,14,0,3,1,0,5.5
30,33,0,3,1,1,5.5
30,15,0,3,1,0,3.6
30,34,0,3,1,1,3.6
30,16,0,3,1,0,3.9
30,35,0,3,1,1,3.9
30,17,0,3,1,0,4.2
30,36,0,3,1,1,4.2
30,18,0,3,1,0,5
30,37,0,3,1,1,5
30,1,4,0,1,1,0.9
30,2,4,0,1,1,1
30,3,4,0,1,1,0.8
30,4,4,0,1,1,2.7
30,5,4,0,1,1,-0.9
30,6,4,0,1,1,2.9
30,7,4,0,1,1,0.6
30,8,4,0,1,1,4.3
30,9,4,0,1,1,0.2
30,10,4,0,1,1,-3.2
30,11,4,0,1,1,-2.1
30,12,4,0,1,1,0.1
30,13,4,0,1,1,-1.8
30,14,4,0,1,1,-0.3
30,15,4,0,1,1,1.9
30,16,4,0,1,1,-3.5
30,17,4,0,1,1,2.6
30,18,4,0,1,1,1
30,19,4,0,1,1,-7.2
30,1,5,0,1,1,0.6
30,2,5,0,1,1,1
30,3,5,0,1,1,-0.2
30,4,5,0,1,1,3
30,5,5,0,1,1,-0.5
30,6,5,0,1,1,2.9
30,7,5,0,1,1,-0.6
30,8,5,0,1,1,-0.2
30,9,5,0,1,1,0.2
30,11,5,0,1,1,-3
30,12,5,0,1,1,1.8
30,13,5,0,1,1,-1.5
30,14,5,0,1,1,-3
30,19,5,0,1,1,-7.4
30,1,6,0,1,1,1.8
30,2,6,0,1,1,-1.5
30,3,6,0,1,1,1.9
30,5,6,0,1,1,-2.5
30,6,6,0,1,1,3.4
30,7,6,0,1,1,6.2
30,8,6,0,1,1,5.2
30,10,6,0,1,1,-3
30,11,6,0,1,1,-1.1
30,12,6,0,1,1,-0.5
30,14,6,0,1,1,8
30,15,6,0,1,1,1.8
30,16,6,0,1,1,-3.3
30,17,6,0,1,1,0.5
30,18,6,0,1,1,-3.2
30,1,0,4,1,0,1
30,2,0,4,1,0,4
30,3,0,4,1,0,1
30,4,0,4,1,0,2.9
30,5,0,4,1,0,2.1
30,6,0,4,1,0,2.4
30,7,0,4,1,0,2.4
30,8,0,4,1,0,2.1
30,9,0,4,1,0,3
30,10,0,4,1,0,2.9
30,11,0,4,1,0,3.1
30,12,0,4,1,0,0
30,13,0,4,1,0,14.3
30,14,0,4,1,0,1.4
30,15,0,4,1,0,3.4
30,16,0,4,1,0,3.5
30,17,0,4,1,0,5.1
30,18,0,4,1,0,3.7
30,19,0,4,1,0,2.9
30,1,0,5,1,0,1.1
30,2,0,5,1,0,1.1
30,3,0,5,1,0,1.1
30,4,0,5,1,0,3
30,5,0,5,1,0,2.6
30,6,0,5,1,0,2.3
30,7,0,5,1,0,2.8
30,8,0,5,1,0,2.2
30,9,0,5,1,0,3
30,11,0,5,1,0,4.7
30,12,0,5,1,0,4.7
30,13,0,5,1,0,0
30,14,0,5,1,0,1.1
30,19,0,5,1,0,2.9
30,1,0,6,1,0,1.5
30,2,0,6,1,0,4
30,3,0,6,1,0,1.5
30,5,0,6,1,0,2.5
30,6,0,6,1,0,15.4
30,7,0,6,1,0,2.9
30,8,0,6,1,0,2.4
30,10,0,6,1,0,3
30,11,0,6,1,0,4.1
30,12,0,6,1,0,3.8
30,14,0,6,1,0,7.1
30,15,0,6,1,0,3.4
30,16,0,6,1,0,3.6
30,17,0,6,1,0,5.1
30,18,0,6,1,0,3.9
31,1,1,0,1,0,93614
31,2,1,0,1,0,52065
31,3,1,0,1,0,41549
31,4,1,0,1,0,1069
31,5,1,0,1,0,3714
31,6,1,0,1,0,6306
31,7,1,0,1,0,2736
31,8,1,0,1,0,7465
31,9,1,0,1,0,735
31,10,1,0,1,0,602
31,11,1,0,1,0,1443
31,12,1,0,1,0,2289
31,13,1,0,1,0,1286
31,14,1,0,1,0,2610
31,15,1,0,1,0,6213
31,16,1,0,1,0,1653
31,17,1,0,1,0,1184
31,18,1,0,1,0,352
31,19,1,0,1,0,1893
31,1,2,0,1,0,72170
31,2,2,0,1,0,51568
31,3,2,0,1,0,20602
31,4,2,0,1,0,1040
31,5,2,0,1,0,2910
31,6,2,0,1,0,5979
31,7,2,0,1,0,2238
31,8,2,0,1,0,1166
31,9,2,0,1,0,734
31,11,2,0,1,0,724
31,12,2,0,1,0,612
31,13,2,0,1,0,1283
31,14,2,0,1,0,1906
31,19,2,0,1,0,1879
31,1,3,0,1,0,21444
31,2,3,0,1,0,497
31,3,3,0,1,0,20947
31,5,3,0,1,0,804
31,6,3,0,1,0,328
31,7,3,0,1,0,498
31,8,3,0,1,0,6299
31,10,3,0,1,0,579
31,11,3,0,1,0,719
31,12,3,0,1,0,1677
31,14,3,0,1,0,704
31,15,3,0,1,0,6186
31,16,3,0,1,0,1626
31,17,3,0,1,0,1133
31,18,3,0,1,0,348
31,20,1,0,1,1,1006184
31,21,1,0,1,1,549031
31,22,1,0,1,1,457154
31,23,1,0,1,1,12827
31,24,1,0,1,1,43847
31,25,1,0,1,1,71513
31,26,1,0,1,1,32627
31,27,1,0,1,1,75549
31,28,1,0,1,1,8455
31,29,1,0,1,1,7181
31,30,1,0,1,1,16801
31,31,1,0,1,1,25823
31,32,1,0,1,1,15299
31,33,1,0,1,1,30807
31,34,1,0,1,1,57778
31,35,1,0,1,1,18483
31,36,1,0,1,1,13801
31,37,1,0,1,1,4221
31,38,1,0,1,1,22141
31,20,2,0,1,1,782149
31,21,2,0,1,1,543260
31,22,2,0,1,1,238888
31,23,2,0,1,1,12478
31,24,2,0,1,1,34202
31,25,2,0,1,1,67602
31,26,2,0,1,1,26546
31,27,2,0,1,1,12482
31,28,2,0,1,1,8453
31,30,2,0,1,1,8509
31,31,2,0,1,1,6924
31,32,2,0,1,1,15268
31,33,2,0,1,1,22991
31,38,2,0,1,1,21973
31,20,3,0,1,1,224037
31,21,3,0,1,1,5771
31,22,3,0,1,1,218266
31,24,3,0,1,1,9645
31,25,3,0,1,1,3911
31,26,3,0,1,1,6082
31,27,3,0,1,1,63067
31,29,3,0,1,1,6902
31,30,3,0,1,1,8292
31,31,3,0,1,1,18899
31,33,3,0,1,1,7816
31,34,3,0,1,1,57503
31,35,3,0,1,1,18183
31,36,3,0,1,1,13239
31,37,3,0,1,1,4176
31,1,0,1,1,0,1.1
31,20,0,1,1,1,1.1
31,2,0,1,1,0,4.9
31,21,0,1,1,1,4.9
31,3,0,1,1,0,1
31,22,0,1,1,1,1
31,4,0,1,1,0,4
31,23,0,1,1,1,4
31,5,0,1,1,0,3.5
31,24,0,1,1,1,3.5
31,6,0,1,1,0,3
31,25,0,1,1,1,3
31,7,0,1,1,0,3
31,26,0,1,1,1,3
31,8,0,1,1,0,2.3
31,27,0,1,1,1,2.3
31,9,0,1,1,0,4.6
31,28,0,1,1,1,4.6
31,10,0,1,1,0,3.5
31,29,0,1,1,1,3.5
31,11,0,1,1,0,3.9
31,30,0,1,1,1,3.9
31,12,0,1,1,0,2
31,31,0,1,1,1,2
31,13,0,1,1,0,6.6
31,32,0,1,1,1,6.6
31,14,0,1,1,0,1.2
31,33,0,1,1,1,1.2
31,15,0,1,1,0,3.6
31,34,0,1,1,1,3.6
31,16,0,1,1,0,3.8
31,35,0,1,1,1,3.8
31,17,0,1,1,0,4.2
31,36,0,1,1,1,4.2
31,18,0,1,1,0,4.8
31,37,0,1,1,1,4.8
31,19,0,1,1,0,3.6
31,38,0,1,1,1,3.6
31,1,0,2,1,0,1.4
31,20,0,2,1,1,1.4
31,2,0,2,1,0,5
31,21,0,2,1,1,5
31,3,0,2,1,0,1.6
31,22,0,2,1,1,1.6
31,4,0,2,1,0,4.1
31,23,0,2,1,1,4.1
31,5,0,2,1,0,4.7
31,24,0,2,1,1,4.7
31,6,0,2,1,0,3.1
31,25,0,2,1,1,3.1
31,7,0,2,1,0,3.6
31,26,0,2,1,1,3.6
31,8,0,2,1,0,4.1
31,27,0,2,1,1,4.1
31,9,0,2,1,0,4.6
31,28,0,2,1,1,4.6
31,11,0,2,1,0,6
31,30,0,2,1,1,6
31,12,0,2,1,0,10.1
31,31,0,2,1,1,10.1
31,13,0,2,1,0,0
31,32,0,2,1,1,0
31,14,0,2,1,0,1.4
31,33,0,2,1,1,1.4
31,19,0,2,1,0,3.7
31,38,0,2,1,1,3.7
31,1,0,3,1,0,1.4
31,20,0,3,1,1,1.4
31,2,0,3,1,0,4.9
31,21,0,3,1,1,4.9
31,3,0,3,1,0,1.5
31,22,0,3,1,1,1.5
31,5,0,3,1,0,3.3
31,24,0,3,1,1,3.3
31,6,0,3,1,0,9.8
31,25,0,3,1,1,9.8
31,7,0,3,1,0,3.8
31,26,0,3,1,1,3.8
31,8,0,3,1,0,2.7
31,27,0,3,1,1,2.7
31,10,0,3,1,0,3.5
31,29,0,3,1,1,3.5
31,11,0,3,1,0,5.2
31,30,0,3,1,1,5.2
31,12,0,3,1,0,3.1
31,31,0,3,1,1,3.1
31,14,0,3,1,0,5.2
31,33,0,3,1,1,5.2
31,15,0,3,1,0,3.6
31,34,0,3,1,1,3.6
31,16,0,3,1,0,3.8
31,35,0,3,1,1,3.8
31,17,0,3,1,0,4.3
31,36,0,3,1,1,4.3
31,18,0,3,1,0,5
31,37,0,3,1,1,5
31,1,4,0,1,1,2.3
31,2,4,0,1,1,2.9
31,3,4,0,1,1,1.7
31,4,4,0,1,1,1.8
31,5,4,0,1,1,4.8
31,6,4,0,1,1,3.2
31,7,4,0,1,1,-0.3
31,8,4,0,1,1,-1
31,9,4,0,1,1,2.6
31,10,4,0,1,1,3.1
31,11,4,0,1,1,-1.1
31,12,4,0,1,1,6.4
31,13,4,0,1,1,3.5
31,14,4,0,1,1,-0.1
31,15,4,0,1,1,-3.6
31,16,4,0,1,1,4.7
31,17,4,0,1,1,8.1
31,18,4,0,1,1,10.3
31,19,4,0,1,1,7.2
31,1,5,0,1,1,2.9
31,2,5,0,1,1,2.9
31,3,5,0,1,1,2.7
31,4,5,0,1,1,3
31,5,5,0,1,1,5.2
31,6,5,0,1,1,3.7
31,7,5,0,1,1,-0.4
31,8,5,0,1,1,0.2
31,9,5,0,1,1,2.7
31,11,5,0,1,1,-1.2
31,12,5,0,1,1,2.8
31,13,5,0,1,1,3.9
31,14,5,0,1,1,1
31,19,5,0,1,1,7.3
31,1,6,0,1,1,0.6
31,2,6,0,1,1,3.7
31,3,6,0,1,1,0.5
31,5,6,0,1,1,3.6
31,6,6,0,1,1,-4.9
31,7,6,0,1,1,-0.2
31,8,6,0,1,1,-1.3
31,10,6,0,1,1,3.5
31,11,6,0,1,1,-1.1
31,12,6,0,1,1,7.9
