Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2019-08-31","null","38333436","Excise Taxes:","null","null","null","null","null","null","null","null","null","4","42","42","300","S","RSG","1","4","2019","4","2019","3","08","31"
"2019-08-31","38333436","38333442","Miscellaneous Excise Taxes","3911662502.02","159735288.41","3751927213.61","41344828175.55","5277684752.26","36067143423.29","31943050711.94","2611194921.47","29331855790.47","4","43","43","305","D","RSG","2","4.1","2019","4","2019","3","08","31"
"2019-08-31","38333436","38333447","Airport and Airway Trust Fund","895766986.61","5058606.86","890708379.75","13820089472.14","14272019.23","13805817452.91","13388326106.44","14016833.56","13374309272.88","4","44","44","308","D","RSG","2","4.2","2019","4","2019","3","08","31"
"2019-08-31","38333436","38333452","Highway Trust Fund","3266131471.59","42609000.00","3223522471.59","37245236061.12","375840000.00","36869396061.12","36246645382.94","373300000.00","35873345382.94","4","45","45","310","D","RSG","2","4.3","2019","4","2019","3","08","31"
"2019-08-31","38333436","38333458","Black Lung Disability Trust Fund","-413671.00","null","-413671.00","186451748.00","null","186451748.00","329647130.00","null","329647130.00","4","46","46","313","D","RSG","2","4.4","2019","4","2019","3","08","31"
"2019-08-31","38333436","38333463","Total -- Excise Taxes","8073147289.22","207402895.27","7865744393.95","92596605456.81","5667796771.49","86928808685.32","81907669331.32","2998511755.03","78909157576.29","4","47","47","314","T","RSG","2","4.5","2019","4","2019","3","08","31"
"2019-08-31","null","38333468","Estate and Gift Taxes","1987715133.51","110594521.41","1877120612.10","16345491891.70","875405954.70","15470085937.00","21504210674.75","810756184.94","20693454489.81","4","48","48","350","D","RSG","1","5","2019","4","2019","3","08","31"
"2019-08-31","null","38333473","Customs Duties","7228392103.58","223090567.15","7005301536.43","66286723552.63","2336486547.02","63950237005.61","38328417421.57","1601935089.80","36726482331.77","4","49","49","405","D","RSG","1","6","2019","4","2019","3","08","31"
"2019-08-31","null","38333478","Miscellaneous Receipts:","null","null","null","null","null","null","null","null","null","4","50","50","800","S","RSG","1","7","2019","4","2019","3","08","31"
"2019-08-31","38333478","38333483","Deposit of Earnings, Federal Reserve System","3622299751.29","null","3622299751.29","48868968942.58","null","48868968942.58","66154865769.85","null","66154865769.85","4","51","51","805","D","RSG","2","7.1","2019","4","2019","3","08","31"
"2019-08-31","38333478","38333487","Universal Service Fund","890102988.46","null","890102988.46","8852089794.33","null","8852089794.33","8607895957.38","null","8607895957.38","4","52","52","807","D","RSG","2","7.2","2019","4","2019","3","08","31"
"2019-08-31","38333478","38333491","All Other","6300124004.98","3813139.93","6296310865.05","19860068023.40","32314447.68","19827753575.72","19200582302.55","23828318.08","19176753984.47","4","53","53","810","D","RSG","2","7.3","2019","4","2019","3","08","31"
"2019-08-31","38333478","38333495","Total -- Miscellaneous Receipts","10812526744.73","3813139.93","10808713604.80","77581126760.31","32314447.68","77548812312.63","93963344029.78","23828318.08","93939515711.70","4","54","54","820","T","RSG","2","7.4","2019","4","2019","3","08","31"
"2019-08-31","null","38333499","Total -- Receipts","236764968622.77","8799991037.55","227964977585.22","3383220969918.07","295053517131.29","3088167452786.78","3310851711252.95","325665810751.70","2985185900501.25","4","55","55","830","T","SL","1","8","2019","4","2019","3","08","31"
"2019-08-31","38333499","38333502","Total -- On-Budget","166289968622.77","8799991037.55","157489977585.22","2546613710731.54","295053517131.29","2251560193600.25","2530907360606.17","325665810751.70","2205241549854.47","4","56","56","840","T","SL","2","8.1","2019","4","2019","3","08","31"
"2019-08-31","38333499","38333505","Total -- Off-Budget","70475000000.00","null","70475000000.00","836607259186.53","null","836607259186.53","779944350646.78","null","779944350646.78","4","57","57","850","T","SL","2","8.2","2019","4","2019","3","08","31"
"2019-07-31","null","37823006","Individual Income Taxes","null","null","null","null","null","null","null","null","null","4","1","1","100","D","RSG","1","1","2019","4","2019","3","07","31"
"2019-07-31","37823006","37823008","Withheld","120690061163.67","null","null","1123527683312.22","null","null","1139465316446.43","null","null","4","2","2","102","D","SRS","2","1.1","2019","4","2019","3","07","31"
"2019-07-31","37823006","37823010","Presidential Election Campaign Fund","391266.00","null","null","24460940.00","null","null","25145319.00","null","null","4","3","3","105","D","SRS","2","1.2","2019","4","2019","3","07","31"
"2019-07-31","37823006","37823013","Other","11414283203.93","null","null","542691294165.13","null","null","535578649087.06","null","null","4","4","4","110","D","SRS","2","1.3","2019","4","2019","3","07","31"
"2019-07-31","37823006","37823016","Total -- Individual Income Taxes","132104735633.60","4677836741.55","127426898892.05","1666243438417.35","237339774265.41","1428903664151.94","1675069110852.49","259919085734.77","1415150025117.72","4","5","5","120","T","RSG","2","1.4","2019","4","2019","3","07","31"
"2019-07-31","null","37823019","Corporation Income Taxes","9522117658.28","2554805062.16","6967312596.12","211624538900.75","40301998214.37","171322540686.38","214349147651.94","48344797522.09","166004350129.85","4","6","6","130","D","RSG","1","2","2019","4","2019","3","07","31"
"2019-07-31","null","37823022","Social Insurance and Retirement Receipts:","null","null","null","null","null","null","null","null","null","4","7","7","140","S","RSG","1","3","2019","4","2019","3","07","31"
"2019-07-31","37823022","37823025","Employment and General Retirement:","null","null","null","null","null","null","null","null","null","4","8","8","150","S","RSG","2","3.1","2019","4","2019","3","07","31"
"2019-07-31","37823025","37823028","Federal Old-Age and Survivors Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","9","9","160","S","RSG","3","3.1.1","2019","4","2019","3","07","31"
"2019-07-31","37823028","37823031","Federal Insurance Contributions Act Taxes","58207000000.00","null","58207000000.00","607620000000.00","null","607620000000.00","559944000000.00","null","559944000000.00","4","10","10","200","D","SRS","4","3.1.1.1","2019","4","2019","3","07","31"
"2019-07-31","37823028","37823037","Self-Employment Contributions Act Taxes","612000000.00","null","612000000.00","32607000000.00","null","32607000000.00","30825000000.00","null","30825000000.00","4","11","11","204","D","SRS","4","3.1.1.2","2019","4","2019","3","07","31"
"2019-07-31","37823028","37823047","Adjustments Attributable to Prior Years-FICA","null","null","null","4296525056.12","null","4296525056.12","-13838988693.43","null","-13838988693.43","4","12","12","209","D","SRS","4","3.1.1.3","2019","4","2019","3","07","31"
"2019-07-31","37823028","37823052","Adjustments Attrbutable to Prior Years-SECA","null","null","null","-1013418653.62","null","-1013418653.62","-1046931710.08","null","-1046931710.08","4","13","13","14360","D","SRS","4","3.1.1.4","2019","4","2019","3","07","31"
"2019-07-31","37823028","37823054","Total -- Federal Old-Age and Survivors Insurance Trust Fund","58819000000.00","null","58819000000.00","643510106402.50","null","643510106402.50","575883079596.49","null","575883079596.49","4","14","14","210","T","RSG","4","3.1.1.5","2019","4","2019","3","07","31"
"2019-07-31","37823025","37823061","Federal Disability Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","15","15","211","S","RSG","3","3.1.2","2019","4","2019","3","07","31"
"2019-07-31","37823061","37823070","Federal Insurance Contributions Act Taxes","9884000000.00","null","9884000000.00","114817000000.00","null","114817000000.00","132309000000.00","null","132309000000.00","4","16","16","212","D","SRS","4","3.1.2.1","2019","4","2019","3","07","31"
"2019-07-31","37823061","37823077","Self-Employment Contributions Act Taxes","126000000.00","null","126000000.00","7009000000.00","null","7009000000.00","7286000000.00","null","7286000000.00","4","17","17","214","D","SRS","4","3.1.2.2","2019","4","2019","3","07","31"
"2019-07-31","37823061","37823092","Adjustments Attributable to Prior Years-FICA","null","null","null","1046219650.83","null","1046219650.83","-3130757156.77","null","-3130757156.77","4","18","18","219","D","SRS","4","3.1.2.3","2019","4","2019","3","07","31"
"2019-07-31","37823061","37823098","Adjustments Attributable to Prior Years-SECA","null","null","null","-250066866.80","null","-250066866.80","-182971792.94","null","-182971792.94","4","19","19","14361","D","SRS","4","3.1.2.4","2019","4","2019","3","07","31"
"2019-07-31","37823061","37823104","Total -- Federal Disability Insurance Trust Fund","10010000000.00","null","10010000000.00","122622152784.03","null","122622152784.03","136281271050.29","null","136281271050.29","4","20","20","220","T","RSG","4","3.1.2.5","2019","4","2019","3","07","31"
"2019-07-31","37823025","37823109","Federal Hospital Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","21","21","221","S","RSG","3","3.1.3","2019","4","2019","3","07","31"
"2019-07-31","37823109","37823114","Federal Insurance Contributions Act Taxes","19915000000.00","null","19915000000.00","214230000000.00","null","214230000000.00","204938000000.00","null","204938000000.00","4","22","22","222","D","SRS","4","3.1.3.1","2019","4","2019","3","07","31"
"2019-07-31","37823109","37823119","Self-Employment Contributions Act Taxes","281000000.00","null","281000000.00","15732000000.00","null","15732000000.00","15203000000.00","null","15203000000.00","4","23","23","224","D","SRS","4","3.1.3.2","2019","4","2019","3","07","31"
"2019-07-31","37823109","37823124","Receipts from Railroad Retirement Board","null","null","null","609600000.00","null","609600000.00","570900000.00","null","570900000.00","4","24","24","226","D","SRS","4","3.1.3.3","2019","4","2019","3","07","31"
"2019-07-31","37823109","37823135","Adjustments Attributable to Prior Years-FICA","null","null","null","1710892764.07","null","1710892764.07","-3970783255.09","null","-3970783255.09","4","25","25","228","D","SRS","4","3.1.3.4","2019","4","2019","3","07","31"
"2019-07-31","37823109","37823141","Adjustments Attributable to Prior Years-SECA","null","null","null","-398978985.19","null","-398978985.19","-92175632.56","null","-92175632.56","4","26","26","14362","D","SRS","4","3.1.3.5","2019","4","2019","3","07","31"
"2019-07-31","37823109","37823147","Total -- Federal Hospital Insurance Trust Fund","20196000000.00","null","20196000000.00","231883513778.88","null","231883513778.88","216648941112.35","null","216648941112.35","4","27","27","229","T","RSG","4","3.1.3.6","2019","4","2019","3","07","31"
"2019-07-31","37823025","37823153","Railroad Retirement:","null","null","null","null","null","null","null","null","null","4","28","28","230","S","RSG","3","3.1.4","2019","4","2019","3","07","31"
"2019-07-31","37823153","37823159","Rail Pension and Supplemental Annuity","302131010.65","48887.39","302082123.26","2748113150.84","6362963.38","2741750187.46","2834387023.32","2541074.37","2831845948.95","4","29","29","235","D","RSG","4","3.1.4.1","2019","4","2019","3","07","31"
"2019-07-31","37823153","37823165","Social Security Equivalent Account","243537740.29","43718.21","243494022.08","1805169496.46","5466994.02","1799702502.44","1933866487.90","2270520.06","1931595967.84","4","30","30","240","D","RSG","4","3.1.4.2","2019","4","2019","3","07","31"
"2019-07-31","37823025","37823171","Total -- Employment and General Retirement","89570668750.94","92605.60","89570576145.34","1002569055612.71","11829957.40","1002557225655.31","933581545270.35","4811594.43","933576733675.92","4","31","31","241","T","RSG","3","3.1.5","2019","4","2019","3","07","31"
"2019-07-31","37823022","37823177","Unemployment Insurance:","null","null","null","null","null","null","null","null","null","4","32","32","250","S","RSG","2","3.2","2019","4","2019","3","07","31"
"2019-07-31","37823177","37823183","Deposits by States","3075372636.08","null","3075372636.08","30856507361.32","null","30856507361.32","32229964201.05","null","32229964201.05","4","33","33","251","D","RSG","3","3.2.1","2019","4","2019","3","07","31"
"2019-07-31","37823177","37823189","Federal Unemployment Taxes","769583558.60","26506342.41","743077216.19","6352830904.71","232821059.43","6120009845.28","8712084859.63","98736565.29","8613348294.34","4","34","34","254","D","RSG","3","3.2.2","2019","4","2019","3","07","31"
"2019-07-31","37823177","37823195","Railroad Unemployment Taxes","30893558.23","null","30893558.23","130800267.28","null","130800267.28","133311529.85","null","133311529.85","4","35","35","255","D","RSG","3","3.2.3","2019","4","2019","3","07","31"
"2019-07-31","37823177","37823207","Total -- Unemployment Insurance","3875849752.91","26506342.41","3849343410.50","37340138533.31","232821059.43","37107317473.88","41075360590.53","98736565.29","40976624025.24","4","36","36","269","T","RSG","3","3.2.4","2019","4","2019","3","07","31"
"2019-07-31","37823022","37823213","Other Retirement:","null","null","null","null","null","null","null","null","null","4","37","37","270","S","RSG","2","3.3","2019","4","2019","3","07","31"
"2019-07-31","37823213","37823218","Federal Employees' Retirement--Employee Share","425294506.73","null","425294506.73","3946778318.24","null","3946778318.24","3674977195.16","null","3674977195.16","4","38","38","279","D","RSG","3","3.3.1","2019","4","2019","3","07","31"
"2019-07-31","37823213","37823222","Non-Federal Employees Retirement","2829586.34","null","2829586.34","23885122.53","null","23885122.53","25806372.76","null","25806372.76","4","39","39","284","D","RSG","3","3.3.2","2019","4","2019","3","07","31"
"2019-07-31","37823213","37823225","Total -- Other Retirement","428124093.07","null","428124093.07","3970663440.77","null","3970663440.77","3700783567.92","null","3700783567.92","4","40","40","285","T","RSG","3","3.3.3","2019","4","2019","3","07","31"
"2019-07-31","37823022","37823228","Total -- Social Insurance and Retirement Receipts","93874642596.92","26598948.01","93848043648.91","1043879857586.79","244651016.83","1043635206569.96","978357689428.80","103548159.72","978254141269.08","4","41","41","286","T","RSG","2","3.4","2019","4","2019","3","07","31"
"2019-07-31","null","37823232","Excise Taxes:","null","null","null","null","null","null","null","null","null","4","42","42","300","S","RSG","1","4","2019","4","2019","3","07","31"
"2019-07-31","37823232","37823235","Miscellaneous Excise Taxes","3173598875.23","466294070.12","2707304805.11","37433165673.53","5117949463.85","32315216209.68","27000815242.97","2494558998.49","24506256244.48","4","43","43","305","D","RSG","2","4.1","2019","4","2019","3","07","31"
"2019-07-31","37823232","37823238","Airport and Airway Trust Fund","1507248000.00","null","1507248000.00","12924322485.53","9213412.37","12915109073.16","12547515431.58","10968888.01","12536546543.57","4","44","44","308","D","RSG","2","4.2","2019","4","2019","3","07","31"
"2019-07-31","37823232","37823241","Highway Trust Fund","3683000201.31","43299000.00","3639701201.31","33979104589.53","333231000.00","33645873589.53","33722864002.39","330997000.00","33391867002.39","4","45","45","310","D","RSG","2","4.3","2019","4","2019","3","07","31"
"2019-07-31","37823232","37823244","Black Lung Disability Trust Fund","14044000.00","null","14044000.00","186865419.00","null","186865419.00","320431110.00","null","320431110.00","4","46","46","313","D","RSG","2","4.4","2019","4","2019","3","07","31"
"2019-07-31","37823232","37823249","Total -- Excise Taxes","8377891076.54","509593070.12","7868298006.42","84523458167.59","5460393876.22","79063064291.37","73591625786.94","2836524886.50","70755100900.44","4","47","47","314","T","RSG","2","4.5","2019","4","2019","3","07","31"
"2019-07-31","null","37823251","Estate and Gift Taxes","1200678701.28","42850681.19","1157828020.09","14357776758.19","764811433.29","13592965324.90","19493836695.86","732379629.71","18761457066.15","4","48","48","350","D","RSG","1","5","2019","4","2019","3","07","31"
"2019-07-31","null","37823253","Customs Duties","6750773323.99","277509190.67","6473264133.32","59058331449.05","2113395979.87","56944935469.18","33701735393.34","1224446118.42","32477289274.92","4","49","49","405","D","RSG","1","6","2019","4","2019","3","07","31"
"2019-07-31","null","37823255","Miscellaneous Receipts:","null","null","null","null","null","null","null","null","null","4","50","50","800","S","RSG","1","7","2019","4","2019","3","07","31"
"2019-07-31","37823255","37823257","Deposit of Earnings, Federal Reserve System","5202879817.27","null","5202879817.27","45246669191.29","null","45246669191.29","60258002493.97","null","60258002493.97","4","51","51","805","D","RSG","2","7.1","2019","4","2019","3","07","31"
"2019-07-31","37823255","37823259","Universal Service Fund","772658618.33","null","772658618.33","7961986805.87","null","7961986805.87","7812679044.45","null","7812679044.45","4","52","52","807","D","RSG","2","7.2","2019","4","2019","3","07","31"
"2019-07-31","37823255","37823261","All Other","1631727326.47","1123927.04","1630603399.43","13559944018.42","28501307.75","13531442710.67","16620453611.92","22864534.95","16597589076.97","4","53","53","810","D","RSG","2","7.3","2019","4","2019","3","07","31"
"2019-07-31","37823255","37823263","Total -- Miscellaneous Receipts","7607265762.07","1123927.04","7606141835.03","66768600015.58","28501307.75","66740098707.83","84691135150.34","22864534.95","84668270615.39","4","54","54","820","T","RSG","2","7.4","2019","4","2019","3","07","31"
"2019-07-31","null","37823265","Total -- Receipts","259438104752.68","8090317620.74","251347787131.94","3146456001295.30","286253526093.74","2860202475201.56","3079254280959.71","313183646586.16","2766070634373.55","4","55","55","830","T","SL","1","8","2019","4","2019","3","07","31"
"2019-07-31","37823265","37823268","Total -- On-Budget","190609104752.68","8090317620.74","182518787131.94","2380323742108.77","286253526093.74","2094070216015.03","2367089930312.93","313183646586.16","2053906283726.77","4","56","56","840","T","SL","2","8.1","2019","4","2019","3","07","31"
"2019-07-31","37823265","37823271","Total -- Off-Budget","68829000000.00","null","68829000000.00","766132259186.53","null","766132259186.53","712164350646.78","null","712164350646.78","4","57","57","850","T","SL","2","8.2","2019","4","2019","3","07","31"
"2019-06-30","null","37440855","Individual Income Taxes","null","null","null","null","null","null","null","null","null","4","1","1","100","D","RSG","1","1","2019","3","2019","2","06","30"
"2019-06-30","37440855","37440857","Withheld","76127365596.02","null","null","1002837622148.55","null","null","1034672856668.54","null","null","4","2","2","102","D","SRS","2","1.1","2019","3","2019","2","06","30"
"2019-06-30","37440855","37440860","Presidential Election Campaign Fund","1136733.00","null","null","24069674.00","null","null","24777681.00","null","null","4","3","3","105","D","SRS","2","1.2","2019","3","2019","2","06","30"
"2019-06-30","37440855","37440863","Other","69403169166.33","null","null","531277010961.20","null","null","525799970700.35","null","null","4","4","4","110","D","SRS","2","1.3","2019","3","2019","2","06","30"
"2019-06-30","37440855","37440866","Total -- Individual Income Taxes","145531671495.35","4383098052.22","141148573443.13","1534138702783.75","232661937523.86","1301476765259.89","1560497605049.89","255008056739.45","1305489548310.44","4","5","5","120","T","RSG","2","1.4","2019","3","2019","2","06","30"
"2019-06-30","null","37440869","Corporation Income Taxes","54128563515.43","2859669578.01","51268893937.42","202102421242.47","37747193152.21","164355228090.26","206825606511.39","45117183006.55","161708423504.84","4","6","6","130","D","RSG","1","2","2019","3","2019","2","06","30"
"2019-06-30","null","37440872","Social Insurance and Retirement Receipts:","null","null","null","null","null","null","null","null","null","4","7","7","140","S","RSG","1","3","2019","3","2019","2","06","30"
"2019-06-30","37440872","37440875","Employment and General Retirement:","null","null","null","null","null","null","null","null","null","4","8","8","150","S","RSG","2","3.1","2019","3","2019","2","06","30"
"2019-06-30","37440875","37440879","Federal Old-Age and Survivors Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","9","9","160","S","RSG","3","3.1.1","2019","3","2019","2","06","30"
"2019-06-30","37440879","37440884","Federal Insurance Contributions Act Taxes","67973000000.00","null","67973000000.00","549413000000.00","null","549413000000.00","506813000000.00","null","506813000000.00","4","10","10","200","D","SRS","4","3.1.1.1","2019","3","2019","2","06","30"
"2019-06-30","37440879","37440888","Self-Employment Contributions Act Taxes","5956000000.00","null","5956000000.00","31995000000.00","null","31995000000.00","30251000000.00","null","30251000000.00","4","11","11","204","D","SRS","4","3.1.1.2","2019","3","2019","2","06","30"
"2019-06-30","37440879","37440894","Adjustments Attributable to Prior Years-FICA","4533679653.33","null","4533679653.33","4296525056.12","null","4296525056.12","-13838988693.43","null","-13838988693.43","4","12","12","209","D","SRS","4","3.1.1.3","2019","3","2019","2","06","30"
"2019-06-30","37440879","37440896","Adjustments Attrbutable to Prior Years-SECA","101785057.50","null","101785057.50","-1013418653.62","null","-1013418653.62","-1046931710.08","null","-1046931710.08","4","13","13","14360","D","SRS","4","3.1.1.4","2019","3","2019","2","06","30"
"2019-06-30","37440879","37440898","Total -- Federal Old-Age and Survivors Insurance Trust Fund","78564464710.83","null","78564464710.83","584691106402.50","null","584691106402.50","522178079596.49","null","522178079596.49","4","14","14","210","T","RSG","4","3.1.1.5","2019","3","2019","2","06","30"
"2019-06-30","37440875","37440900","Federal Disability Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","15","15","211","S","RSG","3","3.1.2","2019","3","2019","2","06","30"
"2019-06-30","37440900","37440902","Federal Insurance Contributions Act Taxes","11541000000.00","null","11541000000.00","104933000000.00","null","104933000000.00","119754000000.00","null","119754000000.00","4","16","16","212","D","SRS","4","3.1.2.1","2019","3","2019","2","06","30"
"2019-06-30","37440900","37440904","Self-Employment Contributions Act Taxes","1037000000.00","null","1037000000.00","6883000000.00","null","6883000000.00","7150000000.00","null","7150000000.00","4","17","17","214","D","SRS","4","3.1.2.2","2019","3","2019","2","06","30"
"2019-06-30","37440900","37440908","Adjustments Attributable to Prior Years-FICA","1097669554.15","null","1097669554.15","1046219650.83","null","1046219650.83","-3130757156.77","null","-3130757156.77","4","18","18","219","D","SRS","4","3.1.2.3","2019","3","2019","2","06","30"
"2019-06-30","37440900","37440911","Adjustments Attributable to Prior Years-SECA","17277217.02","null","17277217.02","-250066866.80","null","-250066866.80","-182971792.94","null","-182971792.94","4","19","19","14361","D","SRS","4","3.1.2.4","2019","3","2019","2","06","30"
"2019-06-30","37440900","37440915","Total -- Federal Disability Insurance Trust Fund","13692946771.17","null","13692946771.17","112612152784.03","null","112612152784.03","123590271050.29","null","123590271050.29","4","20","20","220","T","RSG","4","3.1.2.5","2019","3","2019","2","06","30"
"2019-06-30","37440875","37440921","Federal Hospital Insurance Trust Fund:","null","null","null","null","null","null","null","null","null","4","21","21","221","S","RSG","3","3.1.3","2019","3","2019","2","06","30"
"2019-06-30","37440921","37440927","Federal Insurance Contributions Act Taxes","22199000000.00","null","22199000000.00","194315000000.00","null","194315000000.00","185669000000.00","null","185669000000.00","4","22","22","222","D","SRS","4","3.1.3.1","2019","3","2019","2","06","30"
"2019-06-30","37440921","37440932","Self-Employment Contributions Act Taxes","3194000000.00","null","3194000000.00","15451000000.00","null","15451000000.00","14934000000.00","null","14934000000.00","4","23","23","224","D","SRS","4","3.1.3.2","2019","3","2019","2","06","30"
"2019-06-30","37440921","37440938","Receipts from Railroad Retirement Board","609600000.00","null","609600000.00","609600000.00","null","609600000.00","570900000.00","null","570900000.00","4","24","24","226","D","SRS","4","3.1.3.3","2019","3","2019","2","06","30"
"2019-06-30","37440921","37440950","Adjustments Attributable to Prior Years-FICA","1898978020.18","null","1898978020.18","1710892764.07","null","1710892764.07","-3970783255.09","null","-3970783255.09","4","25","25","228","D","SRS","4","3.1.3.4","2019","3","2019","2","06","30"
"2019-06-30","37440921","37440956","Adjustments Attributable to Prior Years-SECA","81744401.89","null","81744401.89","-398978985.19","null","-398978985.19","-92175632.56","null","-92175632.56","4","26","26","14362","D","SRS","4","3.1.3.5","2019","3","2019","2","06","30"
"2019-06-30","37440921","37440961","Total -- Federal Hospital Insurance Trust Fund","27983322422.07","null","27983322422.07","211687513778.88","null","211687513778.88","197110941112.35","null","197110941112.35","4","27","27","229","T","RSG","4","3.1.3.6","2019","3","2019","2","06","30"
"2019-06-30","37440875","37440966","Railroad Retirement:","null","null","null","null","null","null","null","null","null","4","28","28","230","S","RSG","3","3.1.4","2019","3","2019","2","06","30"
"2019-06-30","37440966","37440971","Rail Pension and Supplemental Annuity","266004127.62","3952277.72","262051849.90","2445982140.19","6314075.99","2439668064.20","2516722603.02","2250153.32","2514472449.70","4","29","29","235","D","RSG","4","3.1.4.1","2019","3","2019","2","06","30"
"2019-06-30","37440966","37440976","Social Security Equivalent Account","-387397658.35","3426606.04","-390824264.39","1561631756.17","5423275.81","1556208480.36","1670997066.99","2008043.64","1668989023.35","4","30","30","240","D","RSG","4","3.1.4.2","2019","3","2019","2","06","30"
"2019-06-30","37440875","37440981","Total -- Employment and General Retirement","120119340373.34","7378883.76","120111961489.58","912998386861.77","11737351.80","912986649509.97","847067011429.14","4258196.96","847062753232.18","4","31","31","241","T","RSG","3","3.1.5","2019","3","2019","2","06","30"
"2019-06-30","37440872","37440987","Unemployment Insurance:","null","null","null","null","null","null","null","null","null","4","32","32","250","S","RSG","2","3.2","2019","3","2019","2","06","30"
"2019-06-30","37440987","37440993","Deposits by States","238385697.73","null","238385697.73","27781134725.24","null","27781134725.24","29083873148.37","null","29083873148.37","4","33","33","251","D","RSG","3","3.2.1","2019","3","2019","2","06","30"
"2019-06-30","37440987","37440999","Federal Unemployment Taxes","29127387.77","18121002.81","11006384.96","5583247346.11","206314717.02","5376932629.09","7887587066.52","73830462.66","7813756603.86","4","34","34","254","D","RSG","3","3.2.2","2019","3","2019","2","06","30"
"2019-06-30","37440987","37441005","Railroad Unemployment Taxes","41342.19","null","41342.19","99906709.05","null","99906709.05","99872738.68","null","99872738.68","4","35","35","255","D","RSG","3","3.2.3","2019","3","2019","2","06","30"
"2019-06-30","37440987","37441017","Total -- Unemployment Insurance","267554427.69","18121002.81","249433424.88","33464288780.40","206314717.02","33257974063.38","37071332953.57","73830462.66","36997502490.91","4","36","36","269","T","RSG","3","3.2.4","2019","3","2019","2","06","30"
"2019-06-30","37440872","37441023","Other Retirement:","null","null","null","null","null","null","null","null","null","4","37","37","270","S","RSG","2","3.3","2019","3","2019","2","06","30"
"2019-06-30","37441023","37441029","Federal Employees' Retirement--Employee Share","382368504.69","null","382368504.69","3521483811.51","null","3521483811.51","3288279352.57","null","3288279352.57","4","38","38","279","D","RSG","3","3.3.1","2019","3","2019","2","06","30"
"2019-06-30","37441023","37441035","Non-Federal Employees Retirement","2275268.19","null","2275268.19","21055536.19","null","21055536.19","23500819.43","null","23500819.43","4","39","39","284","D","RSG","3","3.3.2","2019","3","2019","2","06","30"
"2019-06-30","37441023","37441041","Total -- Other Retirement","384643772.88","null","384643772.88","3542539347.70","null","3542539347.70","3311780172.00","null","3311780172.00","4","40","40","285","T","RSG","3","3.3.3","2019","3","2019","2","06","30"
"2019-06-30","37440872","37441047","Total -- Social Insurance and Retirement Receipts","120771538573.91","25499886.57","120746038687.34","950005214989.87","218052068.82","949787162921.05","887450124554.71","78088659.62","887372035895.09","4","41","41","286","T","RSG","2","3.4","2019","3","2019","2","06","30"
"2019-06-30","null","37441053","Excise Taxes:","null","null","null","null","null","null","null","null","null","4","42","42","300","S","RSG","1","4","2019","3","2019","2","06","30"
"2019-06-30","37441053","37441057","Miscellaneous Excise Taxes","2159519948.41","268403399.29","1891116549.12","34259566798.30","4651655393.73","29607911404.57","23784897327.04","2087133748.03","21697763579.01","4","43","43","305","D","RSG","2","4.1","2019","3","2019","2","06","30"
"2019-06-30","37441053","37441061","Airport and Airway Trust Fund","1524284000.00","null","1524284000.00","11417074485.53","9213412.37","11407861073.16","11177291431.58","10968888.01","11166322543.57","4","44","44","308","D","RSG","2","4.2","2019","3","2019","2","06","30"
"2019-06-30","37441053","37441065","Highway Trust Fund","3724502853.04","43993000.00","3680509853.04","30296104388.22","289932000.00","30006172388.22","30175566806.67","288009000.00","29887557806.67","4","45","45","310","D","RSG","2","4.3","2019","3","2019","2","06","30"
"2019-06-30","37441053","37441069","Black Lung Disability Trust Fund","14203000.00","null","14203000.00","172821419.00","null","172821419.00","287094110.00","null","287094110.00","4","46","46","313","D","RSG","2","4.4","2019","3","2019","2","06","30"
"2019-06-30","37441053","37441072","Total -- Excise Taxes","7422509801.45","312396399.29","7110113402.16","76145567091.05","4950800806.10","71194766284.95","65424849675.29","2386111636.04","63038738039.25","4","47","47","314","T","RSG","2","4.5","2019","3","2019","2","06","30"
"2019-06-30","null","37441075","Estate and Gift Taxes","1144417790.85","57059997.91","1087357792.94","13157098056.91","721960752.10","12435137304.81","17631419989.62","653011921.31","16978408068.31","4","48","48","350","D","RSG","1","5","2019","3","2019","2","06","30"
"2019-06-30","null","37441079","Customs Duties","5822040133.48","216047457.19","5605992676.29","52307558125.06","1835886789.20","50471671335.86","29449931026.44","1131588693.23","28318342333.21","4","49","49","405","D","RSG","1","6","2019","3","2019","2","06","30"
"2019-06-30","null","37441082","Miscellaneous Receipts:","null","null","null","null","null","null","null","null","null","4","50","50","800","S","RSG","1","7","2019","3","2019","2","06","30"
